text,intent_id,intent_label
"i made an international purchase, but the exchange rate was wrong",17,card_payment_wrong_exchange_rate
whats the maximum number of disposable cards that i can get?,29,disposable_card_limits
how do i check security settings on my card?,14,card_not_working
what do the disposable cards do?,37,get_disposable_virtual_card
how many days do i have to wait for the transfer to reach my account?,67,transfer_timing
can i transfer from swift?,56,top_up_by_bank_transfer_charge
can i change my pin without going to a bank?,21,change_pin
this exchange rate on my purchase is wrong.,17,card_payment_wrong_exchange_rate
can i use cash to top up,58,top_up_by_cash_or_cheque
i think my card has been used by somebody else since i was never in the little town where some transactions on this bill have come from. please stop this right away.,22,compromised_card
i entered a wrong pin too many times. how can i fix this?,49,pin_blocked
i got $20 when i should've gotten $100,75,wrong_amount_of_cash_received
why cant i send money to a beneficiary?,7,beneficiary_not_allowed
why can't i top up?,59,top_up_failed
i need help. i updated my balance with a check yesterday and im not seeing it. can you look at my account to see what went wrong?,6,balance_not_updated_after_cheque_or_cash_deposit
there has been a transfer pending in my account and i wanted to know how long it is going to take to go through.,48,pending_transfer
am i allowed to use any card to make a payment?,73,visa_or_mastercard
i would like a refund on one of your products that has been sold to me,52,request_refund
please tell me the types of currency i can hold.,36,fiat_currency_support
i took out money from a transaction machine and it exchanged the wrong dollar value amount from another currency!,76,wrong_exchange_rate_for_cash_withdrawal
when will the transaction be done?,66,transfer_not_received_by_recipient
why hasn't a transaction to a friend cleared yet?,66,transfer_not_received_by_recipient
i think that the exchange rate was wrong for the payment made last saturday - i was charged extra.,17,card_payment_wrong_exchange_rate
"is there something wrong with your website? i tried topping up my account and it's been close to two hours now and it's still at ""pending"" for some reason. i just joined with you guys and this is the first attempt at this, so maybe i'm wrong, but shouldn't this be instant?",47,pending_top_up
what does it mean if my cash withdrawal does not show up properly?,46,pending_cash_withdrawal
i tried my pin too many times and now my card won't work!,49,pin_blocked
if i top up using a european card is there a charge?,57,top_up_by_card_charge
why did my cash deposit not show up?,6,balance_not_updated_after_cheque_or_cash_deposit
would i be able to refund an item?,52,request_refund
i sent some money and the receiver can't access it.,66,transfer_not_received_by_recipient
how do i get my card to show in the app?,13,card_linking
is there a way to change my pin without having to go to the bank?,21,change_pin
"my disposable virtual card was rejected by the merchant, please help?",72,virtual_card_not_working
i keep checking my bank statements but i don't see a refund that i've requested from a seller. can you ensure that i receive the refund from the seller?,51,Refund_not_showing_up
please tell me why i am having problems transferring to a beneficiary.,7,beneficiary_not_allowed
can i use apple pay to top-up?,2,apple_pay_or_google_pay
where is my new card? i have been waiting a week!,11,card_arrival
will i see fees from adding money with an international card?,57,top_up_by_card_charge
is identity verification required for me to use my account?,74,why_verify_identity
can i get a card if i live in the usa?,24,country_support
i have been trying to make transfers to another account but i keep getting a declined notice. i have checked all of my information more than once and my information is accurate.,27,declined_transfer
i was issued a new card a week ago but still haven't received it. how long will it be until i receive it?,11,card_arrival
"i received my new card, how is it activated?",0,activate_my_card
i can't get my card to work.,14,card_not_working
at what cash machines can i change my pin?,21,change_pin
why am i being charged for the same thing twice?,63,transaction_charged_twice
how can i create another card linked to this account?,39,getting_spare_card
what is the maximum number of transactions that i can put on a disposable card?,29,disposable_card_limits
why is there a fee for my transfer?,64,transfer_fee_charged
i would like to transfer money into my account.,65,transfer_into_account
what should i do if the passcode doesn't work for me?,44,passcode_forgotten
how do i change my identity?,69,verify_my_identity
do you accept cheques for top ups?,58,top_up_by_cash_or_cheque
an atm fee was attached to my recent withdrawal.,19,cash_withdrawal_charge
i have a duplicate payment showing,63,transaction_charged_twice
what currencies can i exchange?,36,fiat_currency_support
is there a maximum amount of top-ups?,60,top_up_limits
am i going to be charged for receiving money?,56,top_up_by_bank_transfer_charge
i know that i am able to make transfers for free. that was something that i valued. after i bought something online from abroad i noticed that i got charged a fee? what is this and can it be removed?,64,transfer_fee_charged
how old do i have to be?,1,age_limit
what are the steps to change my pin to something else?,21,change_pin
why do you keep declining my payment?i tried several times already with this card and it is just not working.,25,declined_card_payment
how do i verify a top-up?,71,verify_top_up
seems like my transfer was declined how come?,27,declined_transfer
how do i get the top up feature on my apple watch working?,2,apple_pay_or_google_pay
"i need to transfer something asap from china, how long will it take to post to my account?",67,transfer_timing
why did my my transfer get declined?,27,declined_transfer
i would like to order a disposable virtual card. how can i do this?,37,get_disposable_virtual_card
would a visa or mastercard be more suited to me?,73,visa_or_mastercard
a transaction posted twice to my account.,63,transaction_charged_twice
do you need to know my first and last name?,74,why_verify_identity
i added money to the card but the transaction didn't go through,47,pending_top_up
the app is showing a direct debit transaction that i did not perform,28,direct_debit_payment_not_recognised
does the exchange rate change each day for purchases? there is a different rate on my purchase.,17,card_payment_wrong_exchange_rate
how do i order a disposable virtual card?,37,get_disposable_virtual_card
i want to transfer money from another account into this one.,65,transfer_into_account
is there a function where i can top-up automatically?,4,automatic_top_up
what happens if a merchant doesn't accept a payment?,53,reverted_card_payment?
"i tried to top up, but the funds show up as pending. i thought it was instant?",47,pending_top_up
why is there an extra dollar charged to my account?,34,extra_charge_on_statement
i've been waiting for a refund where is it?,51,Refund_not_showing_up
there is an urgent transfer i need to make from china. how long will it take to get it processed?,67,transfer_timing
i have to have several disposable cards per day.,29,disposable_card_limits
is it normal to have to wait over a week for my new card?,11,card_arrival
what is the price for a physical card?,43,order_physical_card
when can i expect my card to arrive?,12,card_delivery_estimate
"can i still use my account, even though the identity verification has not passed yet?",74,why_verify_identity
is there a fee for extra cards?,39,getting_spare_card
i forgot the code i need to get into the app.,44,passcode_forgotten
please let me know how to change my pin?,21,change_pin
i ordered my card a couple weeks ago and haven't received it yet. when can i expect it?,12,card_delivery_estimate
why does top-up need to be verified?,71,verify_top_up
"could i please cancel my transfer, i paid it into the wrong account. i need to pay it into the right account by tomorrow.",8,cancel_transfer
are there atm fees?,19,cash_withdrawal_charge
cancel a transaction,8,cancel_transfer
can i use this app to change dollars into euros?,33,exchange_via_app
"i prefer visa, can i get that instead?",73,visa_or_mastercard
"why did i get charged for something i bought online? even though it was international, i thought it would be covered.",64,transfer_fee_charged
why has my card been charged an extra pound?,34,extra_charge_on_statement
how long does a uk transfer take?,5,balance_not_updated_after_bank_transfer
can i verify my identity i the app,69,verify_my_identity
my card payment has been on pending forever. what is the problem? it should have gone through at some time by now.,45,pending_card_payment
i'd like to know where my funds come from.,70,verify_source_of_funds
my top is still pending.,47,pending_top_up
can i make many disposable cards per day?,29,disposable_card_limits
online banking is not showing my cheque or cash deposit so the balance is incorrect.,6,balance_not_updated_after_cheque_or_cash_deposit
what are the current exchange rates?,32,exchange_rate
how long do i wait for my pin,38,get_physical_card
"hi, i lost my phone yesterday, what can i do to stop someone using my account on it?",42,lost_or_stolen_phone
"i tried to make a transfer, but it didn't work.",35,failed_transfer
could you explain why my top-up has gone through yet?,47,pending_top_up
can you tell me your exchange rates?,32,exchange_rate
how are currencies exchanged?,33,exchange_via_app
why was my new card declined?,25,declined_card_payment
where is the option to top up with a cheque?,58,top_up_by_cash_or_cheque
can i get a virtual card,37,get_disposable_virtual_card
how do i update the pin on my account?,21,change_pin
my top up was rejected. why?,61,top_up_reverted
is there a reason i was charged a fee for using my card as payment? i've never had an extra fee before.,15,card_payment_fee_charged
"i need to know this, where do my funds come from?",70,verify_source_of_funds
will you guys charge me for topping up by transfer?,56,top_up_by_bank_transfer_charge
do i have to manually top-up my account each time or will it do it on its own?,4,automatic_top_up
what countries are getting support?,24,country_support
is there any cost to change foreign money to local?,31,exchange_charge
it's been a couple days how much longer do i have to wait for my transfer?,67,transfer_timing
i need to cancel a transfer,8,cancel_transfer
why is it taking so long for my money to appear in my account? i have been waiting a week!,6,balance_not_updated_after_cheque_or_cash_deposit
please delete the duplicate payment that was made to my account. one payment is still pending and i do not want to pay twice.,63,transaction_charged_twice
"if us cards have a top up charge, what is it?",57,top_up_by_card_charge
why did my payment not go through why did it cancel?,53,reverted_card_payment?
how do i activate a card i received?,0,activate_my_card
am i going to see a charge for a sepa transfer?,56,top_up_by_bank_transfer_charge
how long does it take for the money to show up in my account?,67,transfer_timing
the bank transfer was declined,27,declined_transfer
can i change my pin at my local bank?,21,change_pin
"i got a message saying i made a withdrawal from the bank machine, but i did not.",20,cash_withdrawal_not_recognised
why was i unable to do a transfer?,27,declined_transfer
i need a disposable virtual card. please tell me how to order one.,37,get_disposable_virtual_card
can i use it outside of europe?,24,country_support
"i just did a transfer, but don't see the money in my account. what's up?",67,transfer_timing
make me understand why i am charged an extra fee when i use the atm.,19,cash_withdrawal_charge
i used an atm and wanted to know why i was charged an extra fee.,19,cash_withdrawal_charge
the fee charged when i changed rubles into british pounds was too much.,17,card_payment_wrong_exchange_rate
how do you determine your exchange rates because one of yours was off when i got cash,76,wrong_exchange_rate_for_cash_withdrawal
i would like my refund for this item i bought.,52,request_refund
why am i being asked to have an identity check,74,why_verify_identity
i received my salary in gbp. how do i change this to my currency?,50,receiving_money
what can i pay with? does cash work?,58,top_up_by_cash_or_cheque
"i made a transfer and the receiver said an amount was received, but less than the right amount. i now have to transfer more to get the remainder to the receiver. can you tell me about this. what's been going on?",64,transfer_fee_charged
"hi, can you tell me why my transfer keeps being rejected? i've been trying to send money to my friends this morning but failed every time and i have no idea why?",35,failed_transfer
i bought some stuff this morning but the payment shows as pending,45,pending_card_payment
what can i expect at card expiration?,9,card_about_to_expire
do you know if i can use this for my salary?,50,receiving_money
what should i do if someone stole my phone?,42,lost_or_stolen_phone
i pulled cash from the atm earlier. why is it still pending if i already have the cash?,46,pending_cash_withdrawal
can i use my account if the identity verification is not complete?,74,why_verify_identity
what fees are charged when i top up,57,top_up_by_card_charge
can you freeze my card it was stolen,41,lost_or_stolen_card
can you tell me how transferring money into my account works?,65,transfer_into_account
"for a week now, i have tried to use my card and it is still not working.",14,card_not_working
how soon do cards arrive after i order them?,12,card_delivery_estimate
are virtual cards available to get?,40,getting_virtual_card
is there supposed to be a fee for the transfer i made?,64,transfer_fee_charged
what are all of the different steps for identity checks?,69,verify_my_identity
what are the exchange rates for getting cash,76,wrong_exchange_rate_for_cash_withdrawal
"i just got my card and want to use it, how do i activate my card?",0,activate_my_card
why do you need to check my identity?,74,why_verify_identity
why couldn't i transfer to a beneficiairy?,7,beneficiary_not_allowed
a transfer is pending.,48,pending_transfer
a cash withdrawal that i didn't authorize is shown on my account - can you please cancel my card as soon as possible?,20,cash_withdrawal_not_recognised
how long should my new card take to arrive?,11,card_arrival
what is preventing me from adding a specific beneficiary?,7,beneficiary_not_allowed
what is identity check?,74,why_verify_identity
how do i check security settings using the app?,14,card_not_working
"top up google pay, is it possible?",2,apple_pay_or_google_pay
are there cash machines where i can change my pin?,21,change_pin
why did the app refuse to make an approved payment,53,reverted_card_payment?
how will i receive my pin?,38,get_physical_card
how do i change my pin?,21,change_pin
why can't i take money from my account?,26,declined_cash_withdrawal
i want to skip verification of my identity.,74,why_verify_identity
i need to change a transfer.,8,cancel_transfer
do you have an age limit?,1,age_limit
"i need my pin, where is it?",38,get_physical_card
there's a duplicate charge on my account?,63,transaction_charged_twice
"i'm concerned about a payment that has recently been made on my card. i do not recognize the name that the transaction went to, can you help me?",16,card_payment_not_recognised
i've tried completing a very standard transfer and have already attempted it 5 times. what's going on here? is there a problem with your system?,35,failed_transfer
i'm not sure how to complete the identity checks process.,69,verify_my_identity
i need a new pin how do i go about that?,21,change_pin
how do i know if my top up was unsuccessful?,59,top_up_failed
explain why my top up has been reverted please.,61,top_up_reverted
can a friend top up my account,62,topping_up_by_card
can i return an item?,52,request_refund
what currencies can i have?,36,fiat_currency_support
any charges applicable for new card?,23,contactless_not_working
"i topped up by card a while ago and it's still pending, surely it should be done by now?",47,pending_top_up
i had the wrong exchange rate applied to some cash i got abroad.,76,wrong_exchange_rate_for_cash_withdrawal
do i have to be 18 to open an account?,1,age_limit
how long does a transfer take?,48,pending_transfer
looks like my top up failed.,59,top_up_failed
i got a fee when paying with my card,15,card_payment_fee_charged
i believe my top up is still pending,47,pending_top_up
how do i unblock my pin?,49,pin_blocked
when will my top-up process?,47,pending_top_up
is there any nearby atm's?,3,atm_support
why was my transaction not approved?,35,failed_transfer
i have been waiting over a week. is the card still coming?,11,card_arrival
i've made more than one attempt to make a purchase and the card keeps getting declined. why do you keep denying my transfers?,27,declined_transfer
i am getting continuous failure for all my transfers. i have cross checked each recipient detail again and again and everything is correct.,27,declined_transfer
"i did a top-up, but i'm not seeing it in my wallet yet.",62,topping_up_by_card
what is the process of card activation?,0,activate_my_card
"i'm really concerned because i only made one transaction, but it's appearing multiple times.",63,transaction_charged_twice
should i contact customer support if i can't edit details,30,edit_personal_details
can i order a new card to china?,9,card_about_to_expire
"there are a couple payments with my card shown in the app that i really didn't make myself. what's happenning with this, does someone has access to my card?!",16,card_payment_not_recognised
i want a refund on a direct debit.,28,direct_debit_payment_not_recognised
will you charge me if i top up by card?,57,top_up_by_card_charge
there's an error in regards to the exchange rate for an item i bought.,17,card_payment_wrong_exchange_rate
i have a payment that is still pending,45,pending_card_payment
is there a fee for a sepa transfer,56,top_up_by_bank_transfer_charge
why am i to verify the top-ups?,71,verify_top_up
do you have any top-up limits?,60,top_up_limits
"so, i was under the impression that you have an offer for crypto top up. this doesn't seem to be working. now, the money has just disappeared from my account. what is the deal?",61,top_up_reverted
my card expires soon,9,card_about_to_expire
what is not accepted in order for me to top up my account?,58,top_up_by_cash_or_cheque
the see the rate applied to my transaction was wrong at the atm.,76,wrong_exchange_rate_for_cash_withdrawal
why is there a fee for an extra pound in my statement?,34,extra_charge_on_statement
"i made a bank transfer earlier from my uk account. i don't see it yet, can you check the status?",5,balance_not_updated_after_bank_transfer
what's the refund process?,52,request_refund
where do i go to reset my passcode?,44,passcode_forgotten
i want to be sure that everything is okay here. i just made a transfer from a uk account and it is still not showing up. how long does this typically take?,5,balance_not_updated_after_bank_transfer
can you give me a virtual card?,40,getting_virtual_card
i need help changing my last name on my account.,30,edit_personal_details
what is necessary for the identity verification?,69,verify_my_identity
"please help me in this, as i was unable to make any payment by my new card, it was getting declined repeatedly. i am not very happy with this incident.",25,declined_card_payment
why is there a direct debit payment on my app that is not from me?,28,direct_debit_payment_not_recognised
why have i not got my new card?,11,card_arrival
it says pending status for my payment. why?,45,pending_card_payment
do i need to do something to get a new card once it expires?,9,card_about_to_expire
i think my phone was stolen. what can i do?,42,lost_or_stolen_phone
at what places accept my card?,10,card_acceptance
i have a confusing payment appear on my statement and i don't recognise it!,16,card_payment_not_recognised
what is this €1 charge?,34,extra_charge_on_statement
"i have arranged a transfer, but no longer need to send it. how do i stop the transfer?",8,cancel_transfer
how do i top up?,65,transfer_into_account
my card was rejected,25,declined_card_payment
can i see where my money is being transferred from?,70,verify_source_of_funds
i can't find the pin.,38,get_physical_card
"hello. how long does it usually take to transfer money to another country? i've made sure all the information is correct, but the transfer still says that it's ""pending.""",48,pending_transfer
is there a way yo change my pin?,21,change_pin
can i withdraw money in my hometown currency while on holiday without any additional fees?,76,wrong_exchange_rate_for_cash_withdrawal
why can't my transfer complete?,35,failed_transfer
why do we need to verify top-up?,71,verify_top_up
how would i top up with a cheque?,58,top_up_by_cash_or_cheque
why would my card payment be reverted?,53,reverted_card_payment?
how do i exchange currency?,33,exchange_via_app
i would like to delete my account. i'm not happy with the service you're providing,55,terminate_account
i am missing a refund amount on my account.,51,Refund_not_showing_up
what is the process for activating my card?,0,activate_my_card
why is my transfer not showing,5,balance_not_updated_after_bank_transfer
why do i have a transaction showing multiple times?,63,transaction_charged_twice
"i believe my money did not go through with my top up, was there a problem on your end?",61,top_up_reverted
what is a pending cash withdrawal?,46,pending_cash_withdrawal
when will my transfer finish pending?,48,pending_transfer
hey i thought transfers were free. why are you charging me?,64,transfer_fee_charged
what are the countries you operate in.,24,country_support
i am not receiving the correct exchange rate on my card.,17,card_payment_wrong_exchange_rate
i made a purchase earlier today but it is still listed as pending- when will it go through?,45,pending_card_payment
i was not distributed the correct amount of cash that i asked for,75,wrong_amount_of_cash_received
"it's been over a month and i still haven't received my goods! i ordered a pencil for crying out loud, it's not that hard to deliver that! i'm done with these people, give me a refund immediately! i'll search for my japanese exclusive pencil elsewhere!",52,request_refund
how can i fix a problem where my virtual card is rejected?,72,virtual_card_not_working
i'm still waiting for my transaction.,66,transfer_not_received_by_recipient
do you have an option for auto top up?,4,automatic_top_up
can i exchange between gbp and usd on the app?,33,exchange_via_app
i need to reverse a transaction,8,cancel_transfer
can i track history on funds?,70,verify_source_of_funds
can you unblock my blocked pin?,49,pin_blocked
how do i set a new pin?,21,change_pin
my card was declined in a shop,25,declined_card_payment
how do i access the auto top-up option?,4,automatic_top_up
transfer could not be completed due to being declined.,27,declined_transfer
is it possible to give a second card from my account to my daughter?,39,getting_spare_card
i just lost my wallet and i see that they are already withdrawing money from my account. how can i stop this?,20,cash_withdrawal_not_recognised
"how long should a transfer normally take to process completely? i have a friend that needs it right away, but it's already been 2 hours and she hasn't received it.",66,transfer_not_received_by_recipient
does my pin come with my card?,38,get_physical_card
"i've tried many times to make a payment, but it's not going through. what's wrong?",25,declined_card_payment
i have a payment that hasn't went through yet.,45,pending_card_payment
why has another fee been placed on my statement?,34,extra_charge_on_statement
"i attempted to top-up with my card this morning, but the transaction was unsuccessful. i received the card two days ago and was successful using it previously. could you please help me?",59,top_up_failed
i can't get into the app with the passcode.,44,passcode_forgotten
i need to cancel a transaction immediately.,8,cancel_transfer
what are the policies of disposable cards?,29,disposable_card_limits
the rate of exchange isn't right for my cash withdrawal.,76,wrong_exchange_rate_for_cash_withdrawal
your foreign exchange rate is wrong.,17,card_payment_wrong_exchange_rate
can you help me activate my card,0,activate_my_card
why is verification for my identity needed?,74,why_verify_identity
where can my card be delivered?,43,order_physical_card
my top-up was rejected,59,top_up_failed
how do i find my card pin?,38,get_physical_card
"left phone at hotel, how to access app",42,lost_or_stolen_phone
"i needed to send my friends some money urgently. i tried multiple times to transfer the money this morning, but the transfer keeps failing. can you tell me why the transfer is getting rejected?",35,failed_transfer
i need to get visa and mastercard,73,visa_or_mastercard
how can i make my card active?,0,activate_my_card
can i use my bank account to send me more money?,65,transfer_into_account
i am still waiting for verification. can i use my account before i am verified?,74,why_verify_identity
"i want to block my card or deactivate it or something, it's been stolen and i don't want it misused. i want this handled right away.",41,lost_or_stolen_card
why was my atm withdrawl declined,26,declined_cash_withdrawal
i want to get a refund.,52,request_refund
could i chose the date to have it delivered?,12,card_delivery_estimate
i need assistance with activating my new card.,0,activate_my_card
i need clarity on why my card is not working.,14,card_not_working
"hi, i'm buying my son bertie a starter home in london. i'm just trying to send the 5% deposit over to the agent. it's only £200,000 but seems to be throwing an error. what is going on? if i wait any longer the house prices might rise, can you look in to it please?",35,failed_transfer
i would like to change currency,33,exchange_via_app
what reason did my top-up fail for?,59,top_up_failed
why isn't my topup working?,59,top_up_failed
i didnt put that money in my account,20,cash_withdrawal_not_recognised
what will i need to configure if my salary is in gbp?,50,receiving_money
do you only use visa or do you have mastercard too?,73,visa_or_mastercard
i can't see a transfer to my account i made.,5,balance_not_updated_after_bank_transfer
a payment i made is for a wrong amount can you help me correct the mistake.,8,cancel_transfer
which type of card will i receive?,73,visa_or_mastercard
why is my card being declined when i try to do a top-up? how can this be immediately resolved?,59,top_up_failed
the wrong exchange rate applied to my cash withdrawal.,76,wrong_exchange_rate_for_cash_withdrawal
i think i got charged twice for the same thing,63,transaction_charged_twice
where do i go to unblock my pin?,49,pin_blocked
i need help with some transactions in my account that i dont recognize or remember purchasing. im not sure if the name is just different or what. should my card be put on hold while the issue gets figured out to be safe or is it ok?,16,card_payment_not_recognised
why hasn't my card payment cleared yet?,45,pending_card_payment
how is my money transferred to the account,65,transfer_into_account
i made a mistake and need to cancel a transfer.,8,cancel_transfer
how do i deactivate my account?,55,terminate_account
what time will a transfer from the us take?,67,transfer_timing
what options do i have when topping up a us card?,57,top_up_by_card_charge
"i am worried about the amount of my cheque, which should be credited to my account few days before. as i have already sent you the cheque.",6,balance_not_updated_after_cheque_or_cash_deposit
what's up with verifying top-ups?,71,verify_top_up
there are duplicate transactions on my account,63,transaction_charged_twice
can i reactivate a card i thought i lost?,13,card_linking
i goofed up and used the wrong account. please help.,8,cancel_transfer
how do i see the source of my money?,70,verify_source_of_funds
do i get an actual card?,43,order_physical_card
"i will need to get a new card soon, how do i order?",9,card_about_to_expire
do i have a choice for a mastercard?,73,visa_or_mastercard
how long for money transfer to show?,48,pending_transfer
why am i unable to verify my id?,68,unable_to_verify_identity
i want to get few more physical cards,39,getting_spare_card
my contactless is non-functional.,23,contactless_not_working
do you have an auto top-up option?,4,automatic_top_up
how do you get exchange rates,32,exchange_rate
can i cancel an order if i haven't received the item yet? and how can i get my money back? please help. thanks.,52,request_refund
i don't understand the money transfer process.,65,transfer_into_account
where do i find the top-up verification code?,71,verify_top_up
i was the victim of someone stealing my wallet. my card is being used and it isn't me. what should i do?,20,cash_withdrawal_not_recognised
is it possible to purchase more physical cards with my account?,39,getting_spare_card
i just bought an item and would like to stop payment can you tell me if the item has been sent yet?,52,request_refund
can i add money to my account with cash?,58,top_up_by_cash_or_cheque
"i read about the auto-top up function, but can't find it in the app.",4,automatic_top_up
what are the details of disposable card limitations?,29,disposable_card_limits
my credit card was declined.,25,declined_card_payment
my withdrawal from the atm was cancelled.,26,declined_cash_withdrawal
seems like my top up has been cancelled,61,top_up_reverted
is it possible to exchange currencies on the app?,33,exchange_via_app
